subjID,Region,ChaCo_mean,ChaCo_std
1003,1,0.042614,0.006431
1004,1,0.00022366,3.3564e-05
1006,1,9.0395e-05,4.6534e-06
1007,1,0,0
1008,1,0.66275,0.049501
1009,1,0,0
1010,1,0.001313,0.00011267
1011,1,9.0395e-05,4.6534e-06
1013,1,0,0
1014,1,0.012339,0.0023932
1015,1,0.00018079,9.3068e-06
1016,1,0.0011472,0.00048187
1017,1,0.00026653,7.6434e-05
1019,1,0,0
1020,1,0,0
1022,1,0,0
1023,1,0.0006095,0.0004194
1024,1,0.00041841,0.00024693
1025,1,0.0010419,9.8711e-05
1027,1,0.00022831,5.6831e-05
1029,1,0.0083572,0.0020981
1030,1,0,0
1031,1,0.00018079,9.3068e-06
1032,1,0.00026653,7.6434e-05
1033,1,0.15232,0.036741
1034,1,0,0
1035,1,0.0017594,0.00090197
1036,1,0.0060023,0.0018867
1037,1,0.0054665,0.00023633
1039,1,0.00017614,8.1088e-05
1040,1,0.018173,0.0060064
1041,1,0,0
1042,1,0,0
1043,1,0,0
1044,1,0,0
1045,1,0.0019933,0.00019277
1046,1,0.00058989,7.5444e-05
1047,1,0.0027836,0.00021732
1048,1,0.86148,0.041283
1049,1,0.0061897,0.00027356
1050,1,0.015733,0.011361
1051,1,0.34455,0.046767
1053,1,0.44436,0.015573
1054,1,0.90438,0.028615
1055,1,0.89222,0.065674
1056,1,0,0
1057,1,0.23935,0.075926
1058,1,0,0
1060,1,0.00018079,9.3068e-06
1003,2,0.00061747,0.00051825
1004,2,0.0011746,0.00051209
1006,2,0.00034726,0.00034726
1007,2,0,0
1008,2,0.012988,0.0043752
1009,2,0,0
1010,2,0,0
1011,2,0.00068308,0.00020986
1013,2,0,0
1014,2,0.0025339,0.00064103
1015,2,4.7322e-05,4.7322e-05
1016,2,0.010058,0.0054201
1017,2,0.00039001,0.00010608
1019,2,0.037511,0.013188
1020,2,0,0
1022,2,0,0
1023,2,0,0
1024,2,0.00073498,0.0003564
1025,2,0.00029308,0.00010379
1027,2,0.014059,0.006677
1029,2,9.693e-05,2.2865e-06
1030,2,0,0
1031,2,0.054279,0.029956
1032,2,0.00048465,1.1432e-05
1033,2,0.00014196,0.00014196
1034,2,0,0
1035,2,0.0032757,0.0012882
1036,2,0.0021622,0.0013104
1037,2,4.7322e-05,4.7322e-05
1039,2,0.00029308,0.00010379
1040,2,0.014684,0.0064495
1041,2,9.9216e-05,9.9216e-05
1042,2,0,0
1043,2,4.9608e-05,4.9608e-05
1044,2,0,0
1045,2,0.021202,0.0035033
1046,2,0,0
1047,2,0.00028393,0.00028393
1048,2,4.7322e-05,4.7322e-05
1049,2,0.026574,0.0053738
1050,2,0.00078916,0.00059987
1051,2,9.9216e-05,9.9216e-05
1053,2,0.00083648,0.00055255
1054,2,0.017134,0.0076699
1055,2,0.16217,0.075853
1056,2,0,0
1057,2,0,0
1058,2,0,0
1060,2,0.017479,0.0017686
1003,3,0.0004415,0.00014295
1004,3,0.008751,0.0012505
1006,3,0.017251,0.0066333
1007,3,0,0
1008,3,0.15326,0.07205
1009,3,0,0
1010,3,0.00032132,0.00012651
1011,3,0.005799,0.00024668
1013,3,0,0
1014,3,0.037375,0.0046459
1015,3,0,0
1016,3,0.010027,0.00087036
1017,3,0.093582,0.018048
1019,3,0.0013599,0.00058066
1020,3,0,0
1022,3,0,0
1023,3,0,0
1024,3,0.0033062,0.00039533
1025,3,0.00066225,0.00021443
1027,3,0.041876,0.0089521
1029,3,0.00067364,0.00030045
1030,3,0,0
1031,3,0.038156,0.00061292
1032,3,0.0008343,0.0002372
1033,3,0.00045289,0.00022897
1034,3,3.7319e-05,3.7319e-05
1035,3,0.018776,0.003093
1036,3,0.0071267,0.00011322
1037,3,4.8704e-05,4.8704e-05
1039,3,0.00038141,8.2228e-06
1040,3,0.13901,0.050642
1041,3,3.7319e-05,3.7319e-05
1042,3,0,0
1043,3,0,0
1044,3,0,0
1045,3,0.095615,0.0017129
1046,3,7.4638e-05,7.4638e-05
1047,3,0.00025807,3.4156e-05
1048,3,0.00017205,2.2771e-05
1049,3,0.2929,0.038566
1050,3,0.10882,0.021713
1051,3,0.00025807,3.4156e-05
1053,3,0.0049837,0.0022562
1054,3,0.53972,0.0061108
1055,3,0.049572,0.00098294
1056,3,0,0
1057,3,0,0
1058,3,0,0
1060,3,0.037423,0.0010898
1003,4,0.84125,0.013026
1004,4,0.0012008,0.0010698
1006,4,0,0
1007,4,0,0
1008,4,0.00076717,0.00050004
1009,4,0,0
1010,4,0.3191,0.05902
1011,4,0,0
1013,4,0,0
1014,4,0.053665,0.020062
1015,4,0.11689,0.069699
1016,4,0,0
1017,4,0.0016972,9.4394e-05
1019,4,0,0
1020,4,0,0
1022,4,0,0
1023,4,0,0
1024,4,0,0
1025,4,0,0
1027,4,0,0
1029,4,0,0
1030,4,0,0
1031,4,0,0
1032,4,0,0
1033,4,8.7393e-05,8.7393e-05
1034,4,0,0
1035,4,0.0035984,0.00040854
1036,4,0,0
1037,4,0.22379,0.034929
1039,4,0,0
1040,4,0,0
1041,4,0,0
1042,4,0,0
1043,4,0,0
1044,4,0,0
1045,4,0,0
1046,4,0,0
1047,4,0.00046253,6.1833e-05
1048,4,0.0065603,0.0012177
1049,4,0.0016848,0.0014177
1050,4,0,0
1051,4,0,0
1053,4,0.00085704,0.00032278
1054,4,0.013041,0.00084968
1055,4,0.0070175,0.0042126
1056,4,0,0
1057,4,2.1848e-05,2.1848e-05
1058,4,0,0
1060,4,0,0
1003,5,0.080349,0.0076461
1004,5,0,0
1006,5,0,0
1007,5,0,0
1008,5,0.0002532,1.3108e-05
1009,5,0,0
1010,5,0,0
1011,5,0,0
1013,5,0,0
1014,5,0,0
1015,5,0,0
1016,5,0,0
1017,5,0,0
1019,5,0,0
1020,5,0,0
1022,5,0,0
